"age_x"	"lx" 	"ly"
17	10000		0
18	9994		0
19	9988.063564	0
20	9982.200571	10000.000000
21	9976.39093	9994.000000
22	9970.634552	9988.063564
23	9964.931349	9982.200571
24	9959.261303	9976.390930
25	9953.614402	9970.634552
26	9947.980657	9964.931349
27	9942.340152	9959.261303
28	9936.673018	9953.614402
29	9930.969367	9947.980657
30	9925.209405	9942.340152
31	9919.353532	9936.673018
32	9913.382081	9930.969367
33	9907.265524	9925.209405
34	9900.964503	9919.353532
35	9894.429867	9913.382081
36	9887.612604	9907.265524
37	9880.453973	9900.964503
38	9872.895426	9894.429867
39	9864.868762	9887.612604
40	9856.286326	9880.453973
41	9847.050985	9872.895426
42	9837.066076	9864.868762
43	9826.205955	9856.286326
44	9814.335898	9847.050985
45	9801.312274	9837.066076
46	9786.953352	9826.205955
47	9771.078913	9814.335898
48	9753.471429	9801.312274
49	9733.886459	9786.953352
50	9712.072819	9771.078913
51	9687.71494	9753.471429
52	9660.502149	9733.886459
53	9630.052246	9712.072819
54	9595.971492	9687.714940
55	9557.817909	9660.502149
56	9515.104021	9630.052246
57	9467.290623	9595.971492
58	9413.800431	9557.817909
59	9354.003971	9515.104021
60	9287.216382	9467.290623
61	9212.714332	9413.800431
62	9129.716989	9354.003971
63	9037.397291	9287.216382
64	8934.877056	9212.714332
65	8821.261159	9129.716989
66	8695.619937	9037.397291
67	8557.011755	8934.877056
68	8404.491577	8821.261159
69	8237.132936	8695.619937
70	8054.05442	8557.011755
71	7854.450789	8404.491577
72	7637.620821	8237.132936
73	7403.008384	8054.054420
74	7150.240066	7854.450789
75	6879.167315	7637.620821
76	6589.925846	7403.008384
77	6282.98028	7150.240066
78	5959.168042	6879.167315
79	5619.757667	6589.925846
80	5266.460362	6282.980280
81	4901.47886	5959.168042
82	4527.496023	5619.757667
83	4147.670799	5266.460362
84	3765.599808	4901.478860
85	3385.247868	4527.496023
86	3010.839454	4147.670799
87	2646.741649	3765.599808
88	2297.297643	3385.247868
89	1966.649891	3010.839454
90	1658.554519	2646.741649
91	1376.190588	2297.297643
92	1121.988919	1966.649891
93	897.502498	1658.554519
94	703.324243	1376.190588
95	539.064273	1121.988919
96	403.402280	897.502498
97	294.206123	703.324243
98	208.705999	539.064273
99	143.712029	403.402280
100	95.847588	294.206123
101	61.773291	208.705999
102	38.379622	143.712029
103	22.928447	95.847588
104	13.135937	61.773291
105	7.196825	38.379622
106	3.759564	22.928447
107	1.866879	13.135937
108	0.878380	7.196825
109	0.390287	3.759564
110	0.163196	1.866879
111	0.063986	0.878380
112	0.023436	0.390287
113	0.007988	0.163196
114	0.002523	0.063986
115	0.000736	0.023436
116	0.000197	0.007988
117	0.000048	0.002523
118	0.000011	0.000736
119	0.000002	0.000197
120	0.000000	0.000048
